name;episodes;size;code;discount
Bean Bandit BD (OVA);1;0.31;A3;0
Beast Saga;38;1.88;A3;0
Beastars;12;1.72;A1;0
Beastars 2nd Season;12;3.02;A1;0
Beatless BD;28;5.87;A1;0
Beck;26;1.52;A1;0
Beelzebub;60;7.58;A1;0
Beelzebub-jou no Okinimesu mama.;12;1.81;A1;0
Bem;12;2.32;A1;0
Benriya Saitou-san, Isekai ni Iku BD;12;5.49;A2;0
Ben-To BD;12;1.8;A1;0
"Bermuda Triangle; Colorful Pastrale";12;3.86;A1;0
Bernard-jou Iwaku.;12;0.17;A1;0
Berserk;12;2.37;A1;0
Berserk 2nd Season;13;3.63;A1;0
"Berserk; Ougon Jidai-hen - Memorial Edition";13;3.69;A2;0
"Berserk; Ougon Jidai-hen I - Haou no Tamago BD (Movie)";1;0.41;A1;0
"Berserk; Ougon Jidai-hen II - Doldrey Kouryaku BD (Movie)";1;0.95;A1;0
"Berserk; Ougon Jidai-hen III - Kourin BD (Movie)";1;1.01;A1;0
Bessatsu Olympia Kyklos;24;1.09;A1;0
Beyblade Burst;51;6.75;A1;0
Beyblade Burst Chouzetsu;51;4.41;A1;0
Beyblade Burst Dynamite Battle;52;3.54;A1;0
Beyblade Burst Gachi;52;4.29;A1;0
Beyblade Burst Sparking;53;5.03;A1;0
B-gata H-kei BD;12;2.57;A1;0
"Biao Ren; Blades of the Guardians";15;2.4;A3;0
Big Order (TV);11;1.96;A1;0
Bikini Warriors BD;13;0.49;A1;0
Bikkurimen;12;2.22;A3;0
Binan Koukou Chikyuu Boueibu LOVE!;12;0.96;A1;0
Binbou Shimai Monogatari;10;0.66;A1;0
Binbougami ga! BD;13;3.21;A1;0
Binchou-tan;6;0.34;A1;0
"Biohazard; Damnation BD (Movie)";1;1.81;A3;0
"Biohazard; Death Island BD (Movie)";2;2.33;A3;0
"Biohazard; Degeneration BD (Movie)";1;1.61;A3;0
"Biohazard; Vendetta BD (Movie)";1;1.26;A2;0
"Birdie Wing; Golf Girls' Story";13;1.65;A1;0
"Birdie Wing; Golf Girls' Story Season 2";12;2.2;A3;0
Bishoujo Senshi Sailor Moon;46;2.64;A1;0
Bishoujo Senshi Sailor Moon Cosmos Movie BD (Movie);2;4.12;A3;0
Bishoujo Senshi Sailor Moon Crystal;26;3.17;A1;0
Bishoujo Senshi Sailor Moon Crystal III;13;2.17;A1;0
Bishoujo Senshi Sailor Moon Eternal Movie 1 (Movie);1;1.18;A1;0
Bishoujo Senshi Sailor Moon Eternal Movie 2 (Movie);1;1.32;A1;0
Bishoujo Senshi Sailor Moon R BD;43;20.11;A1;0
Bishoujo Senshi Sailor Moon S BD;38;15.03;A1;0
Bishounen Tanteidan;12;4.75;A1;0
Black Blood Brothers BD;12;2.17;A1;0
Black Bullet BD;13;2.83;A1;0
Black Cat (TV);24;2.56;A1;0
Black Clover;170;61.02;A2;0.5
"Black Clover; Mahou Tei no Ken (Movie)";1;2.19;A2;0
Black Fox (Movie);2;0.67;A1;0
Black Lagoon BD;12;1.41;A1;0
"Black Lagoon; Roberta's Blood Trail";5;0.34;A1;0
"Black Lagoon; The Second Barrage BD";12;2.66;A1;0
Black Magic M-66 (OVA);1;0.84;A1;0
"Black★★Rock Shooter; Dawn Fall BD";12;5.91;A1;0
Black★Rock Shooter BD;9;1.67;A1;0
Blade;12;1.29;A1;0
Blade & Soul BD;13;1.9;A1;0
"Blade Runner; Black Lotus";13;3.98;A1;0
"Blade Runner; Black Out 2022 BD (Movie)";1;0.35;A1;0
Blame! Movie (Movie);1;0.68;A1;0
Blassreiter;24;2.71;A1;0
"BlazBlue; Alter Memory";12;1.21;A1;0
Bleach;366;48.62;A1;0.5
"Bleach Movie 1; Memories of Nobody BD (Movie)";1;0.68;A1;0
"Bleach Movie 2; The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru BD (Movie)";1;0.6;A1;0
"Bleach Movie 3; Fade to Black - Kimi no Na wo Yobu BD (Movie)";1;0.64;A1;0
"Bleach Movie 4; Jigoku-hen BD (Movie)";1;0.74;A1;0
"Bleach; Memories in the Rain (Special)";1;0.1;A1;0
"Bleach; Sennen Kessen-hen";13;7.09;A1;0
"Bleach; Sennen Kessen-hen - Ketsubetsu-tan";13;8.97;A1;0
"Bleach; Sennen Kessen-hen - Soukoku-tan";14;4.98;A4;0
"Bleach; The Sealed Sword Frenzy (Special)";1;0.13;A1;0
Blend S BD;12;2.73;A1;0
Blood Lad BD;11;1.7;A1;0
"Blood; The Last Vampire BD (Movie)";1;0.85;A1;0
Blood+;50;2.09;A1;0
Blood-C BD;12;4.65;A1;0
"Blood-C; The Last Dark (Movie)";1;0.97;A1;0
Bloodivores;12;2.49;A1;0
Blue Archive the Animation BD;12;7.84;A3;0
Blue Dragon;51;3.98;A1;0
"Blue Dragon; Tenkai no Shichi Ryuu";51;4.51;A1;0
"Blue Gender; The Warrior (Movie)";1;0.54;A1;0
Blue Giant BD (Movie);1;1.47;A3;0
Blue Lock;24;10.74;A2;0
Blue Lock vs. U-20 Japan;14;6.12;A4;0
"Blue Lock; Episode Nagi (Movie)";1;1.32;A3;0
Blue Period;12;1.64;A1;0
Blue Reflection Ray;24;5.17;A1;0
Blue Thermal BD (Movie);1;1.48;A1;0
BNA;12;2.22;A1;0
Bobby ni Kubittake (Movie);1;0.4;A2;0
Bocchi the Rock! BD;12;6.16;A3;0
Bocchi the Rock! Movie Part 1 BD (Movie);1;0.77;A4;0
Boku dake ga Inai Machi BD;12;2.57;A1;0
Boku ga Aishita Subete no Kimi e BD (Movie);1;3.83;A2;0
Boku no Hero Academia 2nd Season BD;26;13.92;A1;0
Boku no Hero Academia 3rd Season BD;27;14.42;A1;0
Boku no Hero Academia 4th Season BD;25;10.09;A1;0
Boku no Hero Academia 5th Season;25;6.54;A1;0
Boku no Hero Academia 6th Season;25;8.06;A1;0
Boku no Hero Academia 7th Season;21;7.23;A1;0
Boku no Hero Academia BD;14;7.81;A1;0
"Boku no Hero Academia the Movie 1; Futari no Hero BD (Movie)";2;1.95;A1;0
"Boku no Hero Academia the Movie 2; Heroes;Rising BD (Movie)";1;1.21;A1;0
"Boku no Hero Academia the Movie 3; World Heroes' Mission (Movie)";1;1.26;A1;0
"Boku no Hero Academia the Movie 4; You're Next (Movie)";1;1.6;A4;0
"Boku no Hero Academia; Memories";4;2;A1;0
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken BD;11;2.37;A1;0
Boku no Kokoro no Yabai Yatsu BD;12;4.11;A3;0
Boku no Kokoro no Yabai Yatsu Season 2 BD;13;4.73;A3;0
"Boku no Kokoro no Yabai Yatsu; Twi-Yaba BD (ONA)";1;0.3;A3;0
Boku no Marie;3;0.22;A3;0
Boku no Tonari ni Ankoku Hakaishin ga Imasu.;12;1.32;A1;0
Boku no Tsuma wa Kanjou ga Nai;12;2.72;A3;0
Boku to Roboko;28;0.62;A3;0
Boku wa Imouto ni Koi wo Suru (Movie);1;0.1;A1;0
Boku wa Tomodachi ga Sukunai BD;13;4.07;A1;0
